,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1882,"In South Agrabad, Flat Of 3 Bedroom Is Up For Sale",3.0,3.0,2,vacant,1300.0,chattogram,"৳7,150,000","South Agrabad, Double Mooring"
1883,Check This Nice Flat For Sale At North Agrabad Nearby Agrabad Housing Jame Mosque,3.0,2.0,4,vacant,1200.0,chattogram,"৳4,800,000","24 No. North Agrabad Ward, Double Mooring"
1884,1550 Sq Ft Apartment To Sale In Chandgaon Ward,3.0,3.0,2,vacant,1550.0,chattogram,"৳6,500,000","North Forida Para, 4 No Chandgaon Ward"
1885,"Buy This 1400 Square Feet Flat In Bayazid, Shahid Nagar",3.0,3.0,3,vacant,1400.0,chattogram,"৳8,000,000","Shahid Nagar, Bayazid"
1886,1324 Sq Ft Large Flat For Sale In Hillview Residential Area,3.0,3.0,1,vacant,1324.0,chattogram,"৳9,400,000","Hillview Residential Area, 15 No. Bagmoniram Ward"
1887,"Plan To Move In This 1300 Sq Ft Flat Which Is For Sale In Ali Nagar, Bayazid",3.0,3.0,4,vacant,1300.0,chattogram,"৳7,200,000","Ali Nagar, Bayazid"
1888,1575 Sq Ft Convenient Apartment For Sale In 30 No. East Madarbari Ward,3.0,3.0,3,vacant,1575.0,chattogram,"৳9,000,000","Darogahat Road, 30 No. East Madarbari Ward"
1889,This 1550 Sq. Ft.-3 Bedroom Flat Is Up For Sale In The Location Of Chandgaon Residential Area .,3.0,3.0,9,vacant,1550.0,chattogram,"৳7,500,000","Chandgaon Residential Area, 4 No Chandgaon Ward"
1890,Offering You 1000 Sq Ft Flat For Sale In Firingee Bazaar Near To One Bank Atm,3.0,3.0,2,vacant,1000.0,chattogram,"৳5,000,000","Abhoy Mitra Lane, 33 No. Firingee Bazaar Ward"
1896,Halishahar Is Offering You A 2000 Sq Ft Apartment Ready For Sale,3.0,3.0,6,vacant,2000.0,chattogram,"৳11,000,000","26 No. North Halishahar Ward, Halishahar"
1898,1878 Sq.Ft Flat For Sale In Khulshi Near By Radiant School And College,3.0,3.0,7,vacant,1878.0,chattogram,"৳15,000,000","South Khulshi, Khulshi"
1899,"Ideal Flat of 1635 SFT In Khulshi, Chattogram Available For Sale",3.0,3.0,9,vacant,1635.0,chattogram,"৳12,000,000","Yakub Future Park Housing, Khulshi"
1900,Live In This Suitable Flat Of 1180 Sq Ft Up For Sale In 33 No. Firingee Bazaar Ward,3.0,3.0,1,vacant,1180.0,chattogram,"৳6,490,000","R C Church Road, 33 No. Firingee Bazaar Ward"
1901,"Establish Your Peace In This Nice 1250 Sq Ft Apartment For Sale At Hill View R/a, Bayazid",3.0,3.0,1,vacant,1250.0,chattogram,"৳7,000,000","Hill View R/A, Bayazid"
1904,See This Flat Of 1000 Sq Ft As Your Dream Home Located In Double Mooring,3.0,3.0,3,vacant,1000.0,chattogram,"৳4,000,000","12 No. Sarai Para Ward, Double Mooring"
1905,This 1400 Sq Ft Apartment Is Ready For Sale At 30 No. East Madarbari Ward,3.0,3.0,2,vacant,1400.0,chattogram,"৳7,800,000","Majhirghat Road, 30 No. East Madarbari Ward"
